filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA40004	FRA40004	Balzac, Honoré de	La Peau de chagrin    	NA	NA	viaf:29529595	NA	1831	NA	fra	88812	NA	NA	U	medium	unspecified	T1
FRA40005	FRA40005	Balzac, Honoré de	Séraphita    	NA	NA	viaf:29529595	NA	1834	NA	fra	49623	NA	NA	U	short	unspecified	T1
FRA40366	FRA40366	Gautier, Théophile		NA	NA	viaf:96428598	NA	1835	NA	fra	93440	NA	NA	U	medium	unspecified	T1
FRA40441	FRA40441	Sand, George		NA	NA	viaf:46766944	NA	1836	NA	fra	53672	NA	NA	U	medium	unspecified	T1
FRA40453	FRA40453	Sand, George		NA	NA	viaf:46766944	NA	1833	NA	fra	102805	NA	NA	U	long	unspecified	T1
FRA40463	FRA40463	Sand, George		NA	NA	viaf:46766944	NA	1835	NA	fra	62388	NA	NA	U	medium	unspecified	T1
FRA40464	FRA40464	Sand, George		NA	NA	viaf:46766944	NA	1832	NA	fra	93118	NA	NA	U	medium	unspecified	T1
FRA40465	FRA40465	Sand, George		NA	NA	viaf:46766944	NA	1834	NA	fra	61192	NA	NA	U	medium	unspecified	T1
FRA40467	FRA40467	Sand, George		NA	NA	viaf:46766944	NA	1837	NA	fra	42858	NA	NA	U	short	unspecified	T1
FRA40468	FRA40468	Sand, George		NA	NA	viaf:46766944	NA	1837	NA	fra	113382	NA	NA	U	long	unspecified	T1
FRA40469	FRA40469	Sand, George		NA	NA	viaf:46766944	NA	1834	NA	fra	47271	NA	NA	U	short	unspecified	T1
FRA40470	FRA40470	Sand, George		NA	NA	viaf:46766944	NA	1832	NA	fra	90629	NA	NA	U	medium	unspecified	T1
FRA40473	FRA40473	Sand, George		NA	NA	viaf:46766944	NA	1837	NA	fra	61516	NA	NA	U	medium	unspecified	T1
FRA40723	FRA40723	Balzac, Honoré de	Louis Lambert    	NA	NA	viaf:29529595	NA	1832	NA	fra	38617	NA	NA	U	short	unspecified	T1
FRA40725	FRA40725	Chateaubriand, François-René de	Les Natchez    	NA	NA	viaf:7388218	NA	1821	NA	fra	151015	NA	NA	U	long	unspecified	T1
FRA40729	FRA40729	De Maistre, Xavier	Expédition nocturne autour de ma chambre    	NA	NA	viaf:29612438	NA	1825	NA	fra	16406	NA	NA	U	short	unspecified	T1
FRA40741	FRA40741	Janin, Jules	L'âne mort et la femme guillotinée    	NA	NA	viaf:51774748	NA	1827	NA	fra	53929	NA	NA	U	medium	unspecified	T1
